file_name,corpus_origin,total_words,postural_contortion_raw_count,postural_contortion_density_10k,apparatus_pole_raw_count,apparatus_pole_density_10k,subaltern_tribal_raw_count,subaltern_tribal_density_10k,poison_necromancy_raw_count,poison_necromancy_density_10k,sorcery_magic_raw_count,sorcery_magic_density_10k,espionage_subversion_raw_count,espionage_subversion_density_10k,climbing_leaping_raw_count,climbing_leaping_density_10k,caravan_trade_transit_raw_count,caravan_trade_transit_density_10k
gp12-22u.htm,GRETIL,30235,16,5.29,46,15.21,5,1.65,61,20.18,38,12.57,75,24.81,3,0.99,14,4.63
b07c091.htm,GRETIL,119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sa_stUpalakSaNakArikAvivecana.htm,GRETIL,2484,1,4.03,3,12.08,0,0.0,2,8.05,1,4.03,0,0.0,0,0.0,0,0.0
b01c003.htm,GRETIL,521,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,172.74,0,0.0,0,0.0
vakyp_au.htm,GRETIL,18435,1,0.54,0,0.0,1,0.54,58,31.46,39,21.16,4,2.17,0,0.0,3,1.63
sa_arcaTa-hetubinduTIkA-edsanghavi.htm,GRETIL,47247,10,2.12,1,0.21,0,0.0,331,70.06,199,42.12,6,1.27,0,0.0,3,0.63
vcpss_u.htm,GRETIL,2555027,3210,12.56,1899,7.43,216,0.85,11541,45.17,3251,12.72,3782,14.8,129,0.5,1599,6.26
prasupbu.htm,GRETIL,7711,2,2.59,0,0.0,0,0.0,58,75.22,17,22.05,21,27.23,0,0.0,3,3.89
b12c329.htm,GRETIL,248,1,40.32,0,0.0,0,0.0,0,0.0,0,0.0,1,40.32,0,0.0,0,0.0
psupvibhs_pu.htm,GRETIL,854,0,0.0,0,0.0,0,0.0,2,23.42,0,0.0,0,0.0,0,0.0,0,0.0
b13c112.htm,GRETIL,255,0,0.0,0,0.0,0,0.0,1,39.22,0,0.0,0,0.0,0,0.0,0,0.0
sa_harSadeva-ratnAvalInATikA.htm,GRETIL,10046,6,5.97,5,4.98,0,0.0,5,4.98,10,9.95,6,5.97,0,0.0,7,6.97
sa_mahAdaNDadhAraNIzItavatI.htm,GRETIL,1274,0,0.0,0,0.0,0,0.0,8,62.79,0,0.0,2,15.7,0,0.0,0,0.0
sa_gorakSanAtha-AmaraughazAsana-comm.htm,GRETIL,1998,17,85.09,0,0.0,0,0.0,17,85.09,0,0.0,1,5.01,0,0.0,12,60.06
b12c315.htm,GRETIL,123,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
b06c043.htm,GRETIL,180,0,0.0,0,0.0,0,0.0,0,0.0,1,55.56,0,0.0,0,0.0,0,0.0
agsas_2u.htm,GRETIL,2970,0,0.0,1,3.37,0,0.0,18,60.61,7,23.57,0,0.0,0,0.0,7,23.57
sa_pramANavArttika.htm,GRETIL,18679,3,1.61,0,0.0,0,0.0,108,57.82,71,38.01,17,9.1,0,0.0,3,1.61
mbh_01_u.htm,GRETIL,173837,120,6.9,129,7.42,5,0.29,449,25.83,61,3.51,217,12.48,6,0.35,52,2.99
vasist_u.htm,GRETIL,7773,8,10.29,2,2.57,0,0.0,29,37.31,3,3.86,13,16.72,0,0.0,8,10.29
sa_ratnakIrti-vAdarahasya.htm,GRETIL,12149,3,2.47,3,2.47,0,0.0,127,104.54,31,25.52,32,26.34,0,0.0,4,3.29
samghscu.htm,GRETIL,17821,14,7.86,0,0.0,0,0.0,43,24.13,4,2.24,18,10.1,0,0.0,12,6.73
cullav_u.htm,GRETIL,141866,467,32.92,34,2.4,0,0.0,225,15.86,4,0.28,141,9.94,0,0.0,14,0.99
pplg202u.htm,GRETIL,2419,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,33.07,0,0.0,1,4.13
b06c080.htm,GRETIL,117,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,85.47,0,0.0,0,0.0
santbcau.htm,GRETIL,14595,6,4.11,4,2.74,3,2.06,29,19.87,22,15.07,10,6.85,0,0.0,6,4.11
nysu51au.htm,GRETIL,2786,0,0.0,0,0.0,0,0.0,10,35.89,12,43.07,0,0.0,0,0.0,0,0.0
ruyalscu.htm,GRETIL,23917,20,8.36,10,4.18,0,0.0,315,131.71,32,13.38,46,19.23,0,0.0,17,7.11
b13c072.htm,GRETIL,111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
b12c261.htm,GRETIL,145,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,137.93,0,0.0,0,0.0
petvatpu.htm,GRETIL,13655,4,2.93,6,4.39,1,0.73,26,19.04,1,0.73,10,7.32,0,0.0,9,6.59
b08c028.htm,GRETIL,149,0,0.0,0,0.0,0,0.0,1,67.11,0,0.0,1,67.11,0,0.0,0,0.0
sa_Aryadeva-cittavizuddhiprakaraNa.htm,GRETIL,2121,3,14.14,2,9.43,0,0.0,16,75.44,1,4.71,1,4.71,0,0.0,1,4.71
nysvbh_u.htm,GRETIL,31719,0,0.0,2,0.63,0,0.0,481,151.64,122,38.46,29,9.14,0,0.0,2,0.63
udkass_u.htm,GRETIL,13294,13,9.78,3,2.26,2,1.5,118,88.76,23,17.3,19,14.29,0,0.0,5,3.76
gr_elib.htm,GRETIL,717,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ksdarpau.htm,GRETIL,9450,10,10.58,6,6.35,4,4.23,37,39.15,12,12.7,4,4.23,0,0.0,13,13.76
cansisyu.htm,GRETIL,2211,3,13.57,0,0.0,0,0.0,46,208.05,1,4.52,2,9.05,0,0.0,2,9.05
hjatm_au.htm,GRETIL,28357,28,9.87,31,10.93,1,0.35,129,45.49,30,10.58,44,15.52,0,0.0,50,17.63
jatak3ou.htm,GRETIL,165275,80,4.84,50,3.03,19,1.15,292,17.67,21,1.27,279,16.88,1,0.06,73,4.42
sa_annaMbhatta-tarkasaMgraha.htm,GRETIL,3757,0,0.0,0,0.0,0,0.0,24,63.88,9,23.96,0,0.0,0,0.0,0,0.0
sa_vAmana-kAvyAlaMkArasUtra.htm,GRETIL,11404,7,6.14,6,5.26,0,0.0,24,21.05,13,11.4,8,7.02,2,1.75,10,8.77
bsa032_u.htm,GRETIL,35721,36,10.08,18,5.04,0,0.0,186,52.07,77,21.56,76,21.28,0,0.0,100,27.99
b08c014.htm,GRETIL,138,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
b05c037.htm,GRETIL,131,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dramfrag_tu.htm,GRETIL,10366,0,0.0,1,0.96,0,0.0,10,9.65,0,0.0,3,2.89,0,0.0,1,0.96
bsa0553u.htm,GRETIL,2531,0,0.0,0,0.0,0,0.0,23,90.87,6,23.71,2,7.9,0,0.0,0,0.0
sa_chandoviciti.htm,GRETIL,6099,1,1.64,3,4.92,0,0.0,10,16.4,0,0.0,4,6.56,0,0.0,0,0.0
prakp13u.htm,GRETIL,3534,0,0.0,0,0.0,0,0.0,51,144.31,20,56.59,2,5.66,0,0.0,0,0.0
sa_garbhasaMgrahaH.htm,GRETIL,765,0,0.0,0,0.0,0,0.0,2,26.14,0,0.0,0,0.0,0,0.0,1,13.07
sa_bhaTTi-rAvaNavadha.htm,GRETIL,19466,12,6.16,7,3.6,0,0.0,83,42.64,35,17.98,33,16.95,0,0.0,13,6.68
dhppat_u.htm,GRETIL,13179,10,7.59,2,1.52,0,0.0,57,43.25,1,0.76,24,18.21,0,0.0,13,9.86
nidde1pu.htm,GRETIL,96259,122,12.67,31,3.22,4,0.42,219,22.75,54,5.61,155,16.1,0,0.0,48,4.99
sa_maitreya-madhyAntavibhAgakArikA.htm,GRETIL,1884,0,0.0,0,0.0,0,0.0,11,58.39,3,15.92,2,10.62,0,0.0,3,15.92
sa_suSeNa-Ayurvedamahodadhau-annapAnavidhi.htm,GRETIL,12804,3,2.34,5,3.91,0,0.0,64,49.98,0,0.0,0,0.0,0,0.0,0,0.0
ram_02su.htm,GRETIL,50506,40,7.92,14,2.77,3,0.59,111,21.98,12,2.38,47,9.31,0,0.0,46,9.11
b03c264.htm,GRETIL,155,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,64.52,0,0.0,0,0.0
jaygit1u.htm,GRETIL,5948,4,6.72,4,6.72,2,3.36,44,73.97,4,6.72,16,26.9,1,1.68,1,1.68
sanss18u.htm,GRETIL,4490,13,28.95,1,2.23,2,4.45,18,40.09,1,2.23,10,22.27,0,0.0,12,26.73
rv_hn01u.htm,GRETIL,39766,2,0.5,6,1.51,0,0.0,84,21.12,16,4.02,48,12.07,0,0.0,3,0.75
sa_baudhAyanadharmasUtra.htm,GRETIL,16230,15,9.24,2,1.23,6,3.7,31,19.1,10,6.16,28,17.25,0,0.0,6,3.7
lip_1_au.htm,GRETIL,109292,129,11.8,114,10.43,1,0.09,270,24.7,71,6.5,89,8.14,3,0.27,30,2.74
b04c032.htm,GRETIL,117,0,0.0,0,0.0,0,0.0,1,85.47,0,0.0,0,0.0,0,0.0,0,0.0
sa_zaGkhAyana-AraNyaka.htm,GRETIL,13564,2,1.47,12,8.85,0,0.0,39,28.75,0,0.0,3,2.21,0,0.0,0,0.0
